log Kd;compound;Kd (L/kg);log D (L/kg);molecular weight (g/mol);positive charges ;negative charges ;Log S (mol/L) at pH 7;number of aromatic rings;molecular volume  (cm3/mol/100)  ;estimated log KOC  (L/kg);surface area (m2/g);PZC;O wt%;delta_PZCpH
5.58E+00;PFBS;3.79E+05;0.251;299.1;0;1;-3.36;0;1.17;2.26;;;;
6.55E+00;PFHxS;3.58E+06;1.65;400.11;0;1;-5;0;1.52;3.3;;;;
6.37E+00;PFHxS;2.32E+06;1.65;400.11;0;1;-5;0;1.52;3.3;;;;
5.42E+00;PFBS;2.60E+05;0.251;299.1;0;1;-3.36;0;1.17;2.26;676;8;;1.1
5.63E+00;PFBS;4.25E+05;0.251;299.1;0;1;-3.36;0;1.17;2.26;752;7.95;;1.05
5.33E+00;PFPeA;2.12E+05;-0.54;264.05;0;1;-3.72;0;1.05;2.43;676;8;;1.1
5.66E+00;PFPeA;4.54E+05;-0.54;264.05;0;1;-3.72;0;1.05;2.43;752;7.95;;1.05
5.44E+00;PFHxA;2.76E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;676;8;;1.1
5.45E+00;PFHxA;2.83E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;752;7.95;;1.05
5.65E+00;PFHxS;4.42E+05;1.65;400.11;0;1;-5;0;1.52;3.3;676;8;;1.1
5.49E+00;PFHpA;3.10E+05;0.88;364.06;0;1;-5.42;0;1.4;3.77;676;8;;1.1
5.69E+00;PFHpA;4.87E+05;0.88;364.06;0;1;-5.42;0;1.4;3.77;752;7.95;;1.05
4.34E+00;PFHpA;2.17E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;810;6;;-0.9
4.90E+00;PFBS;7.91E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;810;6;;-0.9
5.52E+00;PFHxS;3.28E+05;1.65;400.11;0;1;-5;0;1.52;3.3;810;6;;-0.9
3.82E+00;PFPeA;6.61E+03;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1002;7.8;;0.9
4.40E+00;PFBS;2.50E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;1002;7.8;;0.9
4.23E+00;PFHxA;1.70E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;1002;7.8;;0.9
4.22E+00;PFHpA;1.66E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;1002;7.8;;0.9
4.59E+00;PFHxS;3.89E+04;1.65;400.11;0;1;-5;0;1.52;3.3;1002;7.8;;0.9
4.23E+00;PFPeA;1.71E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;992;9.7;;2.8
