log Kd (L/kg),log D (L/kg),molecular weight (g/mol),positive charges,negative charges,Log S (mol/L) at pH 7,number of aromatic rings,molecular volume  (cm3/mol/100),estimated log KOC  (L/kg),surface area (m2/g),O wt%,delta_PZCpH,PZC
5.892295000055523,0.47,330.05,0,1,-4.82,0,1.28,2.075,964.0,,1.0999999999999996,8.0
5.3384843831803925,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1296.0,,1.9000000000000004,8.8
5.340047317661393,1.65,400.11,0,1,-5.0,0,1.52,3.3,1296.0,,1.9000000000000004,8.8
4.01456253812761,-0.54,264.05,0,1,-3.72,0,1.05,2.43,1296.0,,1.9000000000000004,8.8
4.409087369447835,0.47,330.05,0,1,-4.82,0,1.28,2.075,1296.0,,1.9000000000000004,8.8
4.969997998598342,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1003.0,,2.6,9.5
4.239999792886872,0.251,299.1,0,1,-3.36,0,1.1711,2.26,948.0,,-0.2000000000000001,6.7
4.459995256047391,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1003.0,,2.6,9.5
3.899984562549391,0.251,299.1,0,1,-3.36,0,1.1711,2.26,948.0,,-0.2000000000000001,6.7
4.299986436134468,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1003.0,,2.6,9.5
3.869994000121742,0.251,299.1,0,1,-3.36,0,1.1711,2.26,948.0,,-0.2000000000000001,6.7
4.700002397142254,-0.54,264.05,0,1,-3.72,0,1.05,2.43,1003.0,,2.6,9.5
4.109983294819893,-0.54,264.05,0,1,-3.72,0,1.05,2.43,948.0,,-0.2000000000000001,6.7
4.029992175377847,-0.54,264.05,0,1,-3.72,0,1.05,2.43,1003.0,,2.6,9.5
3.380211241711606,-0.54,264.05,0,1,-3.72,0,1.05,2.43,948.0,,-0.2000000000000001,6.7
3.439963935920905,-0.54,264.05,0,1,-3.72,0,1.05,2.43,1003.0,,2.6,9.5
3.4099331233312946,-0.54,264.05,0,1,-3.72,0,1.05,2.43,948.0,,-0.2000000000000001,6.7
4.371437317404101,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,1054.0,0.6,0.6999999999999993,7.6
4.571009672309305,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,1003.0,0.57,-0.2000000000000001,6.7
4.614475366090395,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,993.0,1.3,0.6999999999999993,7.6
4.52270499273475,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,945.0,1.5,-0.3000000000000007,6.6
3.836324115706752,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,1047.0,1.65,-0.2000000000000001,6.7
3.634678752178682,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,982.0,2.9,-0.5,6.4
4.866500002672172,-0.54,264.05,0,1,-3.72,0,1.05,2.43,1054.0,0.6,0.6999999999999993,7.6
5.115810141409786,-0.54,264.05,0,1,-3.72,0,1.05,2.43,1003.0,0.57,-0.2000000000000001,6.7
5.106122874006655,-0.54,264.05,0,1,-3.72,0,1.05,2.43,993.0,1.3,0.6999999999999993,7.6
5.003460532109506,-0.54,264.05,0,1,-3.72,0,1.05,2.43,945.0,1.5,-0.3000000000000007,6.6
4.343999069057162,-0.54,264.05,0,1,-3.72,0,1.05,2.43,1047.0,1.65,-0.2000000000000001,6.7
3.8853612200315126,-0.54,264.05,0,1,-3.72,0,1.05,2.43,982.0,2.9,-0.5,6.4
5.021189299069938,0.18,314.05,0,1,-4.59,0,1.22,2.45,1054.0,0.6,0.6999999999999993,7.6
5.114610984232173,0.18,314.05,0,1,-4.59,0,1.22,2.45,1003.0,0.57,-0.2000000000000001,6.7
5.095518042323151,0.18,314.05,0,1,-4.59,0,1.22,2.45,993.0,1.3,0.6999999999999993,7.6
5.06781451116184,0.18,314.05,0,1,-4.59,0,1.22,2.45,945.0,1.5,-0.3000000000000007,6.6
4.6776069527204935,0.18,314.05,0,1,-4.59,0,1.22,2.45,1047.0,1.65,-0.2000000000000001,6.7
4.651278013998144,0.18,314.05,0,1,-4.59,0,1.22,2.45,982.0,2.9,-0.5,6.4
4.2342641243787895,0.88,364.06,0,1,-5.42,0,1.4,3.77,1054.0,0.6,0.6999999999999993,7.6
4.407390904470732,0.88,364.06,0,1,-5.42,0,1.4,3.77,1003.0,0.57,-0.2000000000000001,6.7
4.343408593803857,0.88,364.06,0,1,-5.42,0,1.4,3.77,993.0,1.3,0.6999999999999993,7.6
4.307496037913213,0.88,364.06,0,1,-5.42,0,1.4,3.77,945.0,1.5,-0.3000000000000007,6.6
4.156851901070011,0.88,364.06,0,1,-5.42,0,1.4,3.77,1047.0,1.65,-0.2000000000000001,6.7
4.013890060328438,0.88,364.06,0,1,-5.42,0,1.4,3.77,982.0,2.9,-0.5,6.4
4.919851807381034,0.47,330.05,0,1,-4.82,0,1.28,2.075,1054.0,0.6,0.6999999999999993,7.6
5.109051810051577,0.47,330.05,0,1,-4.82,0,1.28,2.075,1003.0,0.57,-0.2000000000000001,6.7
5.027545302035994,0.47,330.05,0,1,-4.82,0,1.28,2.075,993.0,1.3,0.6999999999999993,7.6
4.986216198531042,0.47,330.05,0,1,-4.82,0,1.28,2.075,945.0,1.5,-0.3000000000000007,6.6
4.59624511953028,0.47,330.05,0,1,-4.82,0,1.28,2.075,1047.0,1.65,-0.2000000000000001,6.7
3.845098040014257,0.47,330.05,0,1,-4.82,0,1.28,2.075,982.0,2.9,-0.5,6.4
3.1072099696478683,-3.8,150.08,0,1,-0.61,0,0.642,0.352,1054.0,0.6,0.6999999999999993,7.6
3.1583624920952498,-3.8,150.08,0,1,-0.61,0,0.642,0.352,1003.0,0.57,-0.2000000000000001,6.7
2.903089986991944,-3.8,150.08,0,1,-0.61,0,0.642,0.352,993.0,1.3,0.6999999999999993,7.6
3.255272505103306,-3.8,150.08,0,1,-0.61,0,0.642,0.352,945.0,1.5,-0.3000000000000007,6.6
2.505149978319906,-3.8,150.08,0,1,-0.61,0,0.642,0.352,1047.0,1.65,-0.2000000000000001,6.7
